ord;audk;ordfl;beyg;mark
fingur;5753;kk;fingrum;ÞGFFT
fingur;5753;kk;fingra;EFFT
fingur;5753;kk;fingri;ÞGFET
fingur;5753;kk;fingur;NFET,ÞFET,NFFT,ÞFFT
fingur;5753;kk;fingurs;EFET
vetur;396578;kk;vetur;NFET,ÞFET,NFFT,ÞFFT
vetur;396578;kk;vetrum;ÞGFFT
vetur;396578;kk;vetrar;EFET
vetur;396578;kk;vetra;EFFT
vetur;396578;kk;vetri;ÞGFET
