ord;audk;ordfl;beyg;mark
fórur;13779;kvk;fórum;ÞGFFT
fórur;13779;kvk;fórur;NFFT,ÞFFT
föggur;13777;kvk;föggum;ÞGFFT
föggur;13777;kvk;föggur;NFFT,ÞFFT
gönur;13775;kvk;gönum;ÞGFFT
gönur;13775;kvk;gönur;NFFT,ÞFFT
kröggur;13778;kvk;kröggum;ÞGFFT
kröggur;13778;kvk;kröggur;NFFT,ÞFFT
pjönkur;393401;kvk;pjönkum;ÞGFFT
pjönkur;393401;kvk;pjönkur;NFFT,ÞFFT
stírur;13776;kvk;stírur;NFFT,ÞFFT
stírur;13776;kvk;stírum;ÞGFFT
töggur;477890;kvk;töggum;ÞGFFT
töggur;477890;kvk;töggur;NFFT,ÞFFT
